case_id,Z,metric,stride_xy,mean_sim,median_sim,p10_sim,p90_sim,min_sim,max_sim
s0724,32,ssim,1,0.7635219097137451,0.7646006345748901,0.6821044087409973,0.8296675086021423,0.6771381497383118,0.841119647026062
s0163,32,ssim,1,0.7626660466194153,0.7744203209877014,0.7055025100708008,0.798342227935791,0.6973601579666138,0.8053913116455078
s0895,32,ssim,1,0.761067807674408,0.7540830373764038,0.7213016152381897,0.8035573363304138,0.6941275596618652,0.822288453578949
s0468,32,ssim,1,0.7607190608978271,0.8075037598609924,0.6151435971260071,0.8798059821128845,0.5423693656921387,0.9035563468933105
s0139,32,ssim,1,0.7595689296722412,0.75706946849823,0.7278139591217041,0.796055793762207,0.7203368544578552,0.7994973063468933
s0248,32,ssim,1,0.7578153014183044,0.7598861455917358,0.7324231266975403,0.7772282361984253,0.7063190937042236,0.7895022034645081
s0137,32,ssim,1,0.7567664384841919,0.7558428645133972,0.7085109949111938,0.7883159518241882,0.6903166770935059,0.8361218571662903
s0429,32,ssim,1,0.7554847002029419,0.7583698034286499,0.7000690698623657,0.7980769872665405,0.6694204807281494,0.8235288858413696
s0361,32,ssim,1,0.7543850541114807,0.7670928239822388,0.6118359565734863,0.8655857443809509,0.5541756749153137,0.8965896368026733
s0774,32,ssim,1,0.7538760304450989,0.7605350017547607,0.5946677327156067,0.8733517527580261,0.475435733795166,0.9124485850334167
s0483,32,ssim,1,0.752274215221405,0.7752935886383057,0.6800316572189331,0.8047242760658264,0.6694270968437195,0.8201179504394531
s0178,32,ssim,1,0.7507672309875488,0.7526221871376038,0.7037144899368286,0.8003292679786682,0.6711260080337524,0.8151975274085999
s0028,32,ssim,1,0.7474328279495239,0.7468622326850891,0.6887337565422058,0.7971309423446655,0.6853800415992737,0.8180104494094849
s0103,32,ssim,1,0.7473568916320801,0.7442870736122131,0.672097384929657,0.818226158618927,0.655936598777771,0.8417293429374695
s0056,32,ssim,1,0.7470489144325256,0.7493079900741577,0.6240280270576477,0.849615216255188,0.6081424951553345,0.8738876581192017
s0038,32,ssim,1,0.7462841868400574,0.7432364225387573,0.7051222920417786,0.7885589003562927,0.6895484328269958,0.7957746386528015
s0165,32,ssim,1,0.7460079789161682,0.7478234767913818,0.7275418043136597,0.7641181945800781,0.7091994285583496,0.7703172564506531
s0141,32,ssim,1,0.745281457901001,0.7628553509712219,0.6569104194641113,0.7980659604072571,0.6496849656105042,0.8048297762870789
s0070,32,ssim,1,0.7443963289260864,0.7404112219810486,0.6786348819732666,0.825900673866272,0.6728333234786987,0.8365687727928162
s0500,32,ssim,1,0.7425487637519836,0.7392390370368958,0.7112892270088196,0.769098699092865,0.6946202516555786,0.783456563949585
s1388,32,ssim,1,0.7420789003372192,0.7443467974662781,0.7114154696464539,0.7722150683403015,0.6629964709281921,0.8346660137176514
s0057,32,ssim,1,0.7419107556343079,0.7433031797409058,0.6909101605415344,0.771731436252594,0.6759210228919983,0.788882851600647
s0029,32,ssim,1,0.7415699362754822,0.7330198287963867,0.6880635619163513,0.7950482964515686,0.6625100374221802,0.8468480706214905
s0143,32,ssim,1,0.7399650812149048,0.7330650091171265,0.6985587477684021,0.7942929863929749,0.6631324291229248,0.8139902353286743
s0460,32,ssim,1,0.7379791736602783,0.7294580340385437,0.6344719529151917,0.8791338205337524,0.6026583909988403,0.9132580757141113
s0346,32,ssim,1,0.7373396754264832,0.7401639223098755,0.6017197966575623,0.8606623411178589,0.5885081887245178,0.8963373303413391
s0010,32,ssim,1,0.7365596294403076,0.7315904498100281,0.6867019534111023,0.7968804836273193,0.6725592613220215,0.8225542306900024
s0370,32,ssim,1,0.7364777326583862,0.7396529316902161,0.6827486753463745,0.7911781668663025,0.6668123006820679,0.7976666688919067
s0467,32,ssim,1,0.7324939966201782,0.7258542776107788,0.6976537704467773,0.7717580199241638,0.690692126750946,0.7918490767478943
s0675,32,ssim,1,0.7320876717567444,0.7480928301811218,0.6718150973320007,0.7670868635177612,0.657089352607727,0.7812764048576355
s0571,32,ssim,1,0.7314164638519287,0.7413843274116516,0.6582140922546387,0.791243314743042,0.6473636627197266,0.8007774353027344
s0440,32,ssim,1,0.7304452061653137,0.7472819089889526,0.6518459916114807,0.7861518263816833,0.6447230577468872,0.8169046640396118
