case,mask_id,dice_bp_direct,dice_bp_medsam,dice_gt_medsam
s0483,8,0.3591828831445445,0.3939102498516442,
s0483,9,0.0455058717253839,0.0688885428022634,
s0483,10,0.013617960986382,0.0379214739289866,
s0483,11,0.4542064275529231,0.525348119736513,
s0483,12,0.3908486707566462,0.285430976105253,
s0484,1,0.0717385015909748,0.0508474576271186,
s0484,2,0.0563086548488008,0.0291902071563088,
s0484,3,0.0,0.0,
s0484,4,0.0,0.0,
s0484,5,0.3092333981497849,0.3732101842349606,
s0484,6,0.6232694410629913,0.6251607308393887,
s0484,7,0.4407491535593366,0.4045944963025821,
s0484,8,0.5424135403478377,0.5711998050512611,
s0484,9,0.6918861416459817,0.7055987728716994,
s0484,10,0.8252845008218216,0.6402638697736225,
s0487,1,0.0,0.0,
s0487,2,0.0,0.0,
s0487,3,0.0,0.000892458723784,
s0487,4,0.0353089533417402,0.0706626030025962,
s0497,1,0.0,0.0,
s0497,2,0.0,0.0,
s0497,3,0.8091987927013308,0.8367533865758223,
s0497,4,0.7224127158292568,0.8260217627556986,
s0498,1,0.024412680441551,0.0251652493763315,
s0498,2,0.0111329056883846,0.0113431859082728,
s0498,3,0.0,0.0,
s0498,4,0.0959957570936091,0.0921248142644873,
s0498,5,0.0,0.0,
s0498,6,0.8171066501407407,0.7177461504442568,
s0498,7,0.1422227485345491,0.097445557291188,
s0498,8,0.0024263992235522,0.0133787827868196,
s0498,9,0.6959255684902588,0.7496671466999972,
s0498,10,0.9253726971853674,0.875249081243579,
s0500,1,0.0065040650406504,0.0076575008701705,
s0500,2,0.0,0.0,
s0500,3,0.0,0.0,
s0500,4,0.0,0.0008503401360544,
s0500,5,0.0,0.0,
s0500,6,0.0,0.0,
s0500,7,0.027217845083393,0.0344539220605452,
s0500,8,0.5637851592050065,0.7283733370873513,
s0501,1,0.0,0.0,
s0501,2,0.0015616866215512,0.0040659588886379,
s0501,3,0.0075239088065992,0.0064333800519265,
s0502,1,0.0084230229293401,0.0,
s0502,2,0.0,0.0,
s0502,3,0.0,0.0,
s0502,4,0.0,0.0,
s0502,5,0.0,0.0,
s0502,6,0.2157108172098143,0.4212082753182103,
s0502,7,0.0,0.0,
s0502,8,0.0,0.0,
s0502,9,0.1719697485862233,0.1036193404136389,
s0502,10,0.0,0.0107369000642378,
s0503,1,0.0,0.0002900863006744,
s0503,2,0.0,0.0,
s0503,3,0.0,0.0,
s0503,4,0.8086967271378681,0.8373764857511098,
s0503,5,0.8355516509261293,0.8690295289334264,
s0507,1,0.0098010954165465,0.0105571847507331,
s0507,2,0.0,0.0,
s0507,3,0.0,0.0,
s0507,4,0.0,0.0,
s0507,5,0.0,0.0,
s0507,6,0.829219838587294,0.7494720675753503,
s0510,1,0.0016398957194516,0.0012748075984828,
s0510,2,0.0006603929337956,0.0007745933384972,
s0510,3,0.9151023823013912,0.8303226817656394,
s0514,1,0.0,0.0,
s0514,2,0.0,0.0,
s0514,3,0.0,8.526784762635629e-05,
s0514,4,0.0032188841201716,0.0,
s0516,1,0.0,0.0,
s0516,2,0.1138519924098671,0.1310169303972557,
s0516,3,0.0,0.0,
s0516,4,0.0,0.0,
s0516,5,0.0150115473441108,0.0054121565362198,
s0516,6,0.0,0.0,
s0516,7,0.6357157338240569,0.6290875195243614,
s0516,8,0.6927496281335717,0.6615370396044179,
s0516,9,0.3954343864956853,0.3647327926803909,
s0516,10,0.54660176672075,0.649312609250248,
s0516,11,0.2900103861769427,0.4643828839970319,
s0519,1,0.0062679298956148,0.0051186140368146,
s0519,2,0.0,0.0,
s0519,3,0.0,0.0,
s0519,4,0.1026460664180429,0.0973137354282818,
s0519,5,0.0,0.0,
s0519,6,0.0,0.0,
s0519,7,0.7228994676336702,0.6555741503604532,
s0519,8,0.0114699858200724,0.0394259228234768,
s0519,9,0.0062407132243685,0.0160481444332999,
s0519,10,0.5015775827059449,0.692152818699666,
s0519,11,0.3528257314192258,0.5862785862785863,
s0519,12,0.3670560904237496,0.4577798675600485,
s0521,1,0.0,0.0,
s0521,2,0.2677202922319964,0.2884959955097899,
s0521,3,0.1706196617551978,0.1279471392100916,
s0536,1,0.0,0.0,
s0536,2,0.042149631190727,0.0380245246934413,
s0536,3,0.0,0.0,
s0536,4,0.0,0.0,
s0536,5,0.0,0.0,
s0536,6,0.39844799283689,0.6634376845835794,
s0536,7,0.0,0.0,
s0536,8,0.0,0.0,
s0536,9,0.0,0.0,
s0536,10,0.0,0.0,
s0543,1,0.3989361702127659,0.2033453591341423,
s0543,2,0.004478948939982,0.0150569588905398,
s0543,3,0.0,0.0,
s0543,4,0.0878036437246963,0.0914111983785153,
s0543,5,0.5642439257010596,0.5491545274870068,
s0546,1,0.0,0.0,
s0546,2,0.0,0.0,
s0546,3,0.0949164592961251,0.0666395774075579,
s0546,4,0.0,0.0,
s0546,5,0.0,0.0,
s0548,1,0.0,0.0,
s0548,2,0.0,0.0,
s0548,3,0.0030684258975145,0.0,
s0548,4,0.0108063175394846,0.0093489716131225,
s0548,5,0.0020569691007467,0.0,
s0548,6,0.7297478669350973,0.7227680288817211,
