case,mask_id,dice_bp_direct,dice_bp_medsam,dice_gt_medsam
s0227,1,0.0,0.0,
s0227,2,0.0,0.0,
s0227,3,0.1083935869223514,0.088183232312396,
s0241,1,0.0,0.0,
s0241,2,0.0,0.0,
s0241,3,0.0,0.0,
s0241,4,0.0,0.0,
s0241,5,0.0,0.0,
s0241,6,0.0,0.0,
s0241,7,0.0,0.0,
s0248,1,0.0,0.0,
s0248,2,0.0,0.0,
s0248,3,0.0,0.0,
s0248,4,0.0,0.0,
s0250,1,0.0,0.0,
s0250,2,0.0,0.0,
s0250,3,0.0,0.0,
s0260,1,0.0,0.0,
s0260,2,0.0,0.0,
s0260,3,0.0089988751406074,0.023248507697141,
s0285,1,0.110091743119266,0.0560702096538274,
s0287,1,0.0,0.0,
s0287,2,0.0,0.0,
s0287,3,0.0,0.0,
s0289,1,0.0003494670627293,0.0,
s0291,1,0.1178924458148181,0.1430395913154533,
s0291,2,0.0,0.0,
s0291,3,0.0,0.0,
s0291,4,0.0,0.0,
s0292,1,0.0,0.0,
s0307,1,0.0,0.0,
s0307,2,0.0,0.0,
s0307,3,0.0,0.0,
s0321,1,0.0725744843391902,0.0513587634006482,
s0321,2,0.0,0.0,
s0327,1,0.0,0.0,
s0327,2,0.0272114336468973,0.0312077004060761,
s0327,3,0.0,0.0,
s0327,4,0.0,0.0,
s0327,5,0.0016786503651064,0.015280682000965,
s0327,6,0.0,0.0,
s0327,7,0.0,0.0,
s0327,8,0.0,0.0,
s0333,1,0.0014868046090942,0.0076703922857769,
s0334,1,0.023455699252952,0.0737752911326524,
s0334,2,0.002127659574468,0.0269251480883144,
s0334,3,0.0,0.0,
s0336,1,0.0,0.0,
s0340,1,0.1053065713500137,0.0,
s0340,2,0.0,0.0,
s0346,1,0.0,0.0,
s0347,1,0.0,0.0,
s0347,2,0.0,0.0,
s0352,1,0.0924269108841141,0.0775885745674265,
s0352,2,0.0,0.0,
s0361,1,0.0,0.0,
s0362,1,0.0,0.0,
s0362,2,0.0,0.0,
s0362,3,0.0,0.0,
s0362,4,0.0192023633677991,0.0486768802228412,
s0367,1,0.0347824487506092,0.0428604705334265,
s0367,2,0.0010503098414032,0.0049565865409611,
s0369,1,0.0,0.0,
s0369,2,0.0,0.0,
s0369,3,0.0,0.0,
s0369,4,0.0,0.0,
s0369,5,0.0,0.0,
s0369,6,0.0,0.0,
s0370,1,0.0,0.0,
s0370,2,0.0,0.0,
s0370,3,0.0,0.0,
s0370,4,0.0,0.0,
s0370,5,0.0,0.0,
s0370,6,0.0,0.0,
s0370,7,0.0009287372745133,0.0083810588070959,
s0371,1,0.1745071860519909,0.228575058763738,
s0371,2,0.0,0.0018979833926453,
s0371,3,0.0,0.0,
s0371,4,0.0,0.0,
s0371,5,0.0,8.12397180981782e-05,
s0371,6,0.0,0.0,
s0371,7,0.0,0.0,
s0375,1,0.0,0.0,
s0375,2,0.0,0.0,
s0375,3,0.0,0.0,
s0375,4,0.0,0.0,
s0375,5,0.0,0.0,
s0376,1,0.0,0.0,
s0376,2,0.0,0.0,
s0376,3,0.0,0.0,
s0376,4,0.0,0.0,
s0376,5,0.0,0.0,
s0376,6,0.0,0.0,
s0376,7,0.0,0.0,
s0376,8,0.0,0.0,
s0377,1,0.0,0.0,
s0377,2,0.0,0.0,
s0377,3,0.0,0.0,
s0383,1,0.0,0.0,
s0383,2,0.0136578532656277,0.0425092860090796,
s0383,3,0.0,0.0,
s0383,4,0.0,0.0,
s0383,5,0.0,0.0,
s0383,6,0.0,0.0,
s0388,1,0.0029985007496251,0.0001299714062906,
s0388,2,0.0,0.0,
s0388,3,0.0018132366273798,0.0250539956803455,
s0389,1,0.0,0.0,
s0389,2,0.0,0.0,
s0389,3,0.0,0.0,
s0389,4,0.0,0.0,
s0393,1,0.0297723292469352,0.0062565172054223,
s0393,2,0.0,0.0,
s0393,3,0.0,0.0,
s0393,4,0.0,0.0,
s0402,1,0.0,0.0,
s0402,2,0.0,0.0,
s0402,3,0.0,0.0,
s0402,4,0.0,0.0,
s0402,5,0.0,0.0,
s0402,6,0.0,0.0,
s0402,7,0.0,0.0,
s0402,8,0.0,0.0,
s0402,9,0.0,0.0,
s0402,10,6.432522835456066e-05,0.0001872951459341,
s0408,1,0.0803274915332259,0.1142008937735878,
s0410,1,0.0006983240223463,0.0034402683409305,
s0410,2,0.0,0.0,
s0410,3,0.0,0.0,
s0411,1,0.0,0.0,
s0420,1,0.0,0.0,
s0421,1,0.0439019279128248,0.0384701520392166,
s0423,1,0.0,0.0,
s0423,2,0.0,0.0,
s0429,1,0.0,0.0,
s0431,1,0.0,0.0,
s0431,2,0.0,0.0,
s0431,3,0.0,0.0,
s0436,1,0.0,0.0,
s0436,2,0.0,0.0,
s0436,3,0.0,0.0,
s0436,4,0.0,0.0,
s0440,1,0.0,0.0,
s0440,2,0.0,0.0,
s0440,3,0.0,0.0,
s0446,1,0.092299974918485,0.0433570764942706,
s0446,2,0.0,0.0,
s0446,3,0.0,0.0,
s0446,4,0.0,0.0,
s0447,1,0.0,0.0022032497934453,
s0447,2,0.0,0.0,
s0447,3,0.0,0.0,
s0456,1,0.0,0.0,
s0456,2,0.0,0.0,
s0456,3,0.0,0.0,
s0460,1,0.0,0.0,
s0461,1,0.0,0.0,
s0461,2,0.0,0.0,
s0461,3,0.0,0.0,
s0461,4,0.0043680838672102,0.0027951178608031,
s0467,1,0.0,0.0,
s0467,2,0.0,0.0,
s0467,3,0.0009861932938856,0.0341494845360824,
s0468,1,0.0,0.0,
s0468,2,0.0,0.0,
s0468,3,0.0,0.002577984016499,
s0472,1,0.0,0.0,
s0472,2,0.0,0.0,
s0474,1,0.0001959439600274,0.0,
s0476,1,0.0,0.0,
s0476,2,0.0,0.0,
s0476,3,0.0,0.0,
s0477,1,0.0,0.0,
s0477,2,0.0077041602465331,0.0402906208718626,
s0477,3,0.0,0.0,
s0477,4,0.0430879712746858,0.0395093197387286,
s0478,1,0.0,0.0,
s0478,2,0.0,0.0,
s0478,3,0.0,0.0,
s0478,4,0.0,0.0,
s0483,1,0.0,0.0,
s0483,2,0.0,0.0,
s0483,3,0.0,0.0,
s0483,4,0.0,0.0,
s0483,5,0.0,0.0,
s0483,6,0.0,0.0,
s0483,7,0.0,0.0,
s0483,8,8.114248620577734e-05,0.0030717126767219,
s0483,9,0.0,0.0,
s0483,10,0.0,0.0,
s0483,11,0.0,0.0,
s0483,12,0.0,0.0,
s0484,1,0.0018348623853211,0.0118756030579677,
s0484,2,0.0,0.0,
s0484,3,0.0,0.0,
s0484,4,0.0,0.0,
s0484,5,0.0,0.0,
s0484,6,0.0,0.0,
s0484,7,0.0,0.0,
s0484,8,0.0,0.0,
s0484,9,0.0,0.0,
s0484,10,0.0,0.0,
s0487,1,0.0,0.0,
s0487,2,0.0,0.0,
s0487,3,0.0,0.0012722646310432,
s0487,4,0.0015723270440251,0.006798866855524,
s0497,1,0.0,0.0,
s0497,2,0.0007664303506418,0.0028449502133712,
s0497,3,0.0,0.0,
s0497,4,0.0,0.0,
s0498,1,0.0593636557762118,0.0575582257825248,
s0498,2,0.0,0.0,
s0498,3,0.0,0.0,
s0498,4,0.0,0.0,
s0498,5,0.0,0.0010157084566485,
s0498,6,0.0,0.0,
s0498,7,0.0,0.0,
s0498,8,0.0,0.0,
s0498,9,0.0,0.0,
s0498,10,0.0,0.0,
s0500,1,0.0,0.0,
s0500,2,0.0,0.0,
s0500,3,0.0,0.0,
s0500,4,0.0,0.0,
s0500,5,0.0,0.0,
s0500,6,0.0,0.0,
s0500,7,0.001078021829942,0.0102271375906766,
s0500,8,0.0,0.0,
s0501,1,0.0,0.0,
s0501,2,0.0,0.0,
s0501,3,0.0,0.0233693756539937,
s0502,1,0.0,0.0,
s0502,2,0.0,0.0,
s0502,3,0.0,0.0,
s0502,4,0.0,0.0,
s0502,5,0.0,0.0,
s0502,6,0.0059291516623398,0.0135963378096816,
s0502,7,0.0,0.0,
s0502,8,0.0,0.0,
s0502,9,0.0882965431070387,0.1789648113851252,
s0502,10,0.0,0.0,
s0503,1,0.0,0.0,
s0503,2,0.0,0.0,
s0503,3,0.0,0.0,
s0503,4,0.0,0.0,
s0503,5,0.0,0.0,
