case,mask_id,mode,prompt,dice,iou,gt_pos,pred_pos,bp_pred_pos,slices_used
s0199,1,structured,fracture,0.0,0.0,10115,845,64,13
s0212,1,structured,lesion,0.0035746201966041107,0.0017905102954341987,953,9118,5863,29
s0212,2,structured,lesion,0.0,0.0,813,2674,562,24
s0212,3,structured,cyst,0.0,0.0,789,6017,3412,13
s0212,4,structured,lesion,0.0,0.0,905,1002,248,12
s0212,5,structured,lesion,0.0,0.0,7372,1357,260,16
s0212,6,structured,effusion,0.0,0.0,21308,2698,740,22
s0227,1,structured,cyst,0.0,0.0,36,3678,1492,13
s0227,2,structured,cyst,0.0,0.0,0,1271,192,12
s0227,3,structured,lesion,0.08818323231239607,0.04612535772403344,12654,5989,3251,30
s0241,1,structured,calcification,0.0,0.0,13,1769,781,5
s0241,2,structured,lesion,0.0,0.0,4681,3338,1608,31
s0241,3,structured,emphysema,0.0,0.0,45488,375,68,3
s0241,4,structured,emphysema,0.0,0.0,60488,369,74,3
s0241,5,structured,emphysema,0.0,0.0,14621,416,96,4
s0241,6,structured,emphysema,0.0,0.0,52573,69,11,1
s0241,7,structured,emphysema,0.0,0.0,45954,117,16,1
s0248,1,structured,cyst,0.0,0.0,18,1006,279,8
s0248,2,structured,cyst,0.0,0.0,346,318,27,5
s0248,3,structured,lesion,0.0,0.0,15,3428,1262,27
s0248,4,structured,lesion,0.0,0.0,396,1364,165,16
s0250,1,structured,lesion,0.0,0.0,1307,5646,3126,30
s0250,2,structured,lesion,0.0,0.0,16,2162,368,18
s0250,3,structured,lesion,0.0,0.0,53544,1299,185,17
s0260,1,structured,mass,0.0,0.0,32713,6339,4475,28
s0260,2,structured,lesion,0.0,0.0,3058,4871,1745,28
s0260,3,structured,effusion,0.023248507697141062,0.011760966306420852,1573,1610,205,21
s0285,1,structured,lesion,0.0560702096538274,0.028843742162026585,876,3226,1304,28
s0287,1,structured,cyst,0.0,0.0,38,1439,583,9
s0287,2,structured,lesion,0.0,0.0,54,2848,954,23
s0287,3,structured,lesion,0.0,0.0,11268,825,98,13
s0289,1,structured,lesion,0.0,0.0,4640,22662,12529,29
s0291,1,structured,calcification,0.14303959131545338,0.07702888583218707,4162,21677,17892,30
s0291,2,structured,lesion,0.0,0.0,386,5020,3030,31
s0291,3,structured,calculus,0.0,0.0,15,10255,7434,28
s0291,4,structured,lesion,0.0,0.0,84370,1485,263,18
s0292,1,structured,lesion,0.0,0.0,308,10593,11367,31
s0307,1,structured,cyst,0.0,0.0,27,2603,864,12
s0307,2,structured,lesion,0.0,0.0,502,5696,4304,31
s0307,3,structured,lesion,0.0,0.0,46910,1630,391,19
s0321,1,structured,lesion,0.05135876340064822,0.026356192425793245,1412,6610,3824,31
s0321,2,structured,lesion,0.0,0.0,55201,1497,411,21
s0327,1,structured,cyst,0.0,0.0,2857,36132,28512,26
s0327,2,structured,effusion,0.0312077004060761,0.01585118979412551,42385,10807,7153,30
s0327,3,structured,lesion,0.0,0.0,24912,2717,818,20
s0327,4,structured,cyst,0.0,0.0,2705,3461,1425,18
s0327,5,structured,effusion,0.015280682000965096,0.007699165248399384,35376,1926,367,19
s0327,6,structured,lesion,0.0,0.0,10590,1099,193,12
s0327,7,structured,cyst,0.0,0.0,40,2341,1244,13
s0327,8,structured,calcification,0.0,0.0,0,36461,47698,28
s0333,1,structured,lesion,0.007670392285776901,0.0038499615003849963,3021,6105,5050,29
s0334,1,structured,lesion,0.0737752911326524,0.03830045933531478,9738,5633,2711,28
s0334,2,structured,effusion,0.026925148088314487,0.013646288209606987,1388,2326,492,25
s0334,3,structured,lesion,0.0,0.0,27364,770,81,10
s0336,1,structured,lesion,0.0,0.0,0,8712,7137,32
s0340,1,structured,lesion,0.0,0.0,762,7425,6512,30
s0340,2,structured,lesion,0.0,0.0,4355,1645,530,20
s0346,1,structured,mass,0.0,0.0,2504,1818,970,12
s0347,1,structured,calcification,0.0,0.0,0,6048,5897,12
s0347,2,structured,lesion,0.0,0.0,16,23786,16501,31
s0352,1,structured,lesion,0.07758857456742653,0.04036002571612258,965,13599,13230,32
s0352,2,structured,lesion,0.0,0.0,169,2884,920,27
s0361,1,structured,mass,0.0,0.0,2369,17151,11963,31
s0362,1,structured,lesion,0.0,0.0,69,6794,3351,27
s0362,2,structured,calculus,0.0,0.0,0,11179,8193,23
s0362,3,structured,stone,0.0,0.0,17,8323,4103,22
s0362,4,structured,lesion,0.04867688022284122,0.0249455765318868,26681,2039,399,21
s0367,1,structured,lesion,0.04286047053342651,0.021899547726731732,104996,6622,3737,32
s0367,2,structured,lesion,0.004956586540961162,0.0024844504673546684,113968,1434,284,23
s0369,1,structured,calcification,0.0,0.0,9,4836,2892,13
s0369,2,structured,calcification,0.0,0.0,103,1662,325,13
s0369,3,structured,lesion,0.0,0.0,299,4770,2751,28
s0369,4,structured,mass,0.0,0.0,762,2813,1178,15
s0369,5,structured,lesion,0.0,0.0,1514,1096,141,18
s0369,6,structured,lesion,0.0,0.0,30488,1083,117,18
s0370,1,structured,lesion,0.0,0.0,42,3776,977,24
s0370,2,structured,lesion,0.0,0.0,14,941,160,13
